,Feat_Importance,Cum_Imp,Diff_Feat_Imp
aa_000,0.11736724797517391,0.11736724797517391,0.7750928303865947
ck_000,0.09764110665319749,0.2150083546283714,0.7750928303865947
bj_000,0.08770805676741489,0.3027164113957863,0.39029608602495236
ah_000,0.06225801962523468,0.364974431021021,1.0
bt_000,0.05989517712408243,0.42486960814510344,0.09284239893057511
bh_000,0.05987633948367936,0.4847459476287828,0.0007401812538752867
dn_000,0.04707403692554143,0.5318199845543242,0.5030366944698773
ap_000,0.041479318685316256,0.5732993032396405,0.21983143713973746
ao_000,0.04106828666837533,0.6143675899080159,0.016150546839858757
cq_000,0.04029000794267444,0.6546575978506903,0.030580651861249756
bv_000,0.03850341921757501,0.6931610170682654,0.07019984745477587
bu_000,0.03785474487086674,0.7310157619391321,0.025488149313274387
cc_000,0.02323937741285771,0.7542551393519898,0.5742768616154952
aq_000,0.021704470082012775,0.7759596094340027,0.06031061260421578
bg_000,0.019857952088439483,0.7958175615224421,0.07255462863403538
ba_002,0.016728612752289398,0.8125461742747315,0.1229601088072128
az_000,0.016678787266638035,0.8292249615413696,0.0019577765396964126
ee_001,0.01645577424564919,0.8456807357870187,0.008762777820046003
ag_003,0.008398767190770448,0.8540795029777892,0.3165813475975356
ag_004,0.006860784941126058,0.8609402879189153,0.06043143438464297
ee_000,0.006760715877498524,0.8677010037964138,0.003931981044604544
ci_000,0.005912504598258438,0.8736135083946722,0.03332848885451264
cp_000,0.005183718248494346,0.8787972266431666,0.028635964092807602
bs_000,0.00496537677270284,0.8837626034158694,0.008579220319864803
dt_000,0.004876147467726769,0.8886387508835962,0.0035060579470897807
be_000,0.00434787532108336,0.8929866262046796,0.020757224977399538
am_0,0.004106069875156607,0.8970926960798362,0.00950118243741148
cj_000,0.004089911316062097,0.9011826073958983,0.0006349129867370266
cs_003,0.00396034964557396,0.9051429570414723,0.00509082441665303
cs_002,0.003907136661429008,0.9090500937029014,0.0020908804119880017
de_000,0.003811967078280651,0.912862060781182,0.0037394673578148054
al_000,0.0037771015964713503,0.9166391623776534,0.0013699579931659702
